stature,weightkg,SizeShirt
171.0,65.0,XXL
153.0,57.0,M
159.0,71.0,L
163.0,72.0,L
164.0,71.0,L
166.0,83.0,XXL
165.0,60.0,L
177.0,76.0,XXL
175.0,93.0,XXXL
174.0,57.0,XXL
160.0,58.0,L
163.0,55.0,L
155.0,69.0,L
157.0,64.0,L
162.0,59.0,L
153.0,60.0,M
154.0,66.0,L
174.0,67.0,XXL
162.0,63.0,L
158.0,61.0,L
156.0,64.0,L
165.0,58.0,L
161.0,79.0,XL
163.0,60.0,L
170.0,82.0,XXL
154.0,56.0,M
165.0,51.0,L
169.0,60.0,XL
172.0,71.0,XXL
158.0,68.0,L
167.0,94.0,XXXL
172.0,68.0,XXL
161.0,67.0,L
174.0,68.0,XXL
170.0,78.0,XL
168.0,70.0,XL
159.0,50.0,L
168.0,59.0,XL
170.0,76.0,XL
165.0,78.0,XL
156.0,71.0,L
165.0,66.0,L
168.0,73.0,XL
152.0,54.0,M
161.0,67.0,L
162.0,64.0,L
161.0,66.0,L
159.0,77.0,XL
164.0,70.0,L
161.0,59.0,L
152.0,56.0,M
169.0,92.0,XXXL
164.0,80.0,XL
167.0,77.0,XL
166.0,70.0,XL
160.0,59.0,L
158.0,64.0,L
167.0,84.0,XXL
153.0,54.0,M
156.0,71.0,L
147.0,57.0,M
153.0,52.0,M
164.0,72.0,L
165.0,51.0,L
164.0,63.0,L
158.0,53.0,L
160.0,59.0,L
156.0,60.0,L
150.0,57.0,M
146.0,49.0,M
163.0,68.0,L
158.0,68.0,L
160.0,63.0,L
165.0,77.0,XL
160.0,63.0,L
170.0,78.0,XL
160.0,60.0,L
166.0,77.0,XL
163.0,61.0,L
149.0,46.0,M
161.0,59.0,L
155.0,57.0,M
163.0,62.0,L
157.0,61.0,L
153.0,51.0,M
155.0,63.0,L
157.0,65.0,L
167.0,64.0,XL
157.0,56.0,L
163.0,66.0,L
157.0,59.0,L
167.0,53.0,XL
170.0,75.0,XL
160.0,70.0,L
159.0,65.0,L
161.0,64.0,L
167.0,68.0,XL
168.0,71.0,XL
152.0,49.0,M
160.0,52.0,L
176.0,74.0,XXL
164.0,75.0,L
158.0,60.0,L
149.0,43.0,M
156.0,75.0,L
156.0,71.0,L
166.0,72.0,XL
161.0,76.0,XL
168.0,66.0,XL
163.0,60.0,L
162.0,69.0,L
153.0,63.0,L
153.0,60.0,M
167.0,81.0,XXL
168.0,77.0,XL
158.0,53.0,L
158.0,67.0,L
171.0,69.0,XXL
165.0,80.0,XL
170.0,72.0,XL
160.0,63.0,L
160.0,65.0,L
149.0,48.0,M
156.0,65.0,L
167.0,66.0,XL
161.0,66.0,L
157.0,67.0,L
156.0,59.0,L
162.0,65.0,L
174.0,65.0,XXL
163.0,68.0,L
169.0,89.0,XXL
150.0,64.0,L
163.0,85.0,XXL
154.0,56.0,M
149.0,61.0,L
164.0,66.0,L
170.0,71.0,XL
161.0,58.0,L
154.0,57.0,M
160.0,56.0,L
158.0,61.0,L
154.0,53.0,M
163.0,67.0,L
167.0,77.0,XL
156.0,65.0,L
162.0,66.0,L
161.0,54.0,L
154.0,53.0,M
159.0,81.0,XXL
160.0,61.0,L
169.0,77.0,XL
161.0,72.0,L
155.0,66.0,L
167.0,80.0,XL
160.0,52.0,L
155.0,47.0,M
168.0,84.0,XXL
158.0,68.0,L
164.0,64.0,L
165.0,67.0,L
151.0,50.0,M
175.0,74.0,XXL
169.0,67.0,XL
157.0,57.0,L
165.0,59.0,L
165.0,66.0,L
150.0,50.0,M
165.0,74.0,L
163.0,75.0,L
158.0,63.0,L
163.0,76.0,XL
161.0,80.0,XL
167.0,76.0,XL
163.0,52.0,L
164.0,65.0,L
157.0,72.0,L
160.0,55.0,L
165.0,59.0,L
162.0,75.0,L
159.0,60.0,L
161.0,66.0,L
167.0,69.0,XL
156.0,61.0,L
172.0,74.0,XXL
159.0,67.0,L
163.0,57.0,L
165.0,80.0,XL
170.0,63.0,XL
167.0,68.0,XL
163.0,73.0,L
160.0,67.0,L
161.0,66.0,L
170.0,70.0,XL
173.0,70.0,XXL
171.0,58.0,XXL
157.0,49.0,L
164.0,73.0,L
178.0,99.0,XXXL
160.0,64.0,L
167.0,72.0,XL
163.0,90.0,XXL
157.0,75.0,L
159.0,65.0,L
159.0,70.0,L
154.0,64.0,L
160.0,63.0,L
168.0,66.0,XL
164.0,66.0,L
156.0,49.0,L
159.0,55.0,L
167.0,92.0,XXXL
167.0,69.0,XL
152.0,56.0,M
161.0,60.0,L
162.0,64.0,L
151.0,64.0,L
162.0,70.0,L
160.0,58.0,L
167.0,84.0,XXL
160.0,69.0,L
161.0,73.0,L
162.0,47.0,L
165.0,60.0,L
159.0,51.0,L
165.0,71.0,L
177.0,88.0,XXL
154.0,53.0,M
167.0,74.0,XL
158.0,62.0,L
159.0,57.0,L
162.0,56.0,L
158.0,64.0,L
161.0,52.0,L
155.0,64.0,L
169.0,75.0,XL
167.0,74.0,XL
169.0,75.0,XL
161.0,55.0,L
176.0,85.0,XXL
157.0,81.0,XXL
167.0,82.0,XXL
153.0,50.0,M
150.0,60.0,M
170.0,69.0,XL
153.0,64.0,L
162.0,65.0,L
171.0,58.0,XXL
155.0,60.0,M
159.0,60.0,L
161.0,66.0,L
170.0,70.0,XL
161.0,61.0,L
159.0,65.0,L
156.0,58.0,L
166.0,52.0,XL
166.0,70.0,XL
165.0,67.0,L
154.0,62.0,L
157.0,62.0,L
161.0,50.0,L
161.0,59.0,L
151.0,50.0,M
155.0,52.0,M
172.0,83.0,XXL
159.0,62.0,L
160.0,70.0,L
164.0,66.0,L
163.0,73.0,L
